ID_Funcionario,Apelido,Area,Cargo,Anos_na_Empresa,Aval_Valores,Descricao_Valores,Aval_Performace,Desc_Performace,Aval_Equipe,Desc__Equipe
33,Vento,Operação,Motorista,"2,1",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
34,Sol,Administrativo,Assistente Administrativo,"8,2",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
35,Delta,Operação,Fiscal Operacional,"1,6",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
36,Aurora,Administrativo,Assistente Administrativo,"2,5",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
37,Jade,Comercial,Executivo Comercial,"1,4",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
38,Nuvem,Tecnologia,Desenvolvedor,"0,5",4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
39,Trovão,Manutenção,Mecânico,"4,3",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
40,Vento,Operação,Fiscal Operacional,13,4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
41,Panda,Administrativo,Analista Administrativo,"8,8",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
42,Jade,Experiência do Cliente,Analista CX,24,4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
43,Lobo,Operação,Motorista,"0,6",5,Muito alinhado aos valores,3,Dentro do esperado,5,Muito satisfeito com a equipe
44,Lobo,Manutenção,Auxiliar de Manutenção,"2,1",3,Neutro,4,Acima do esperado,3,Neutro
45,Sol,Financeiro,Analista Financeiro,"4,1",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
46,Nuvem,Jurídico,Assistente Jurídico,"2,1",4,Alinhado aos valores,3,Dentro do esperado,3,Neutro
47,Jade,Operação,Motorista,"24,9",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
48,Cometa,Tecnologia,Desenvolvedor,"11,8",4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
49,Safira,Tecnologia,Analista de Sistemas,"0,3",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
50,Bravo,Atendimento,Supervisor Atendimento,"8,2",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
51,Nuvem,Operação,Despachante,"6,6",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
52,Bravo,Administrativo,Analista Administrativo,"1,2",5,Muito alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
53,Cometa,Atendimento,Atendente,"2,2",3,Neutro,4,Acima do esperado,5,Muito satisfeito com a equipe
54,Lobo,Operação,Despachante,"1,7",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
55,Aurora,Tecnologia,Analista de Sistemas,"0,8",5,Muito alinhado aos valores,4,Acima do esperado,3,Neutro
56,Falcão,Administrativo,Analista Administrativo,"1,4",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
57,Eco,Experiência do Cliente,Analista CX,"2,9",4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
58,Lua,Operação,Fiscal Operacional,"13,4",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
59,Lobo,Comercial,Analista Comercial,"0,8",3,Neutro,5,Muito acima do esperado,4,Satisfeito com a equipe
60,Pixel,Operação,Despachante,"2,8",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
61,Trovão,Marketing,Analista Marketing,"0,8",3,Neutro,5,Muito acima do esperado,5,Muito satisfeito com a equipe
62,Jade,Administrativo,Analista Administrativo,"9,8",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
63,Safira,Tecnologia,Analista de Sistemas,"1,6",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
64,Eco,Operação,Despachante,"2,8",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
65,Atlas,Administrativo,Assistente Administrativo,"2,4",4,Alinhado aos valores,4,Acima do esperado,3,Neutro
66,Vento,Administrativo,Analista Administrativo,"13,5",3,Neutro,3,Dentro do esperado,3,Neutro
67,Nuvem,Operação,Motorista,"9,1",4,Alinhado aos valores,5,Muito acima do esperado,3,Neutro
68,Sirius,Manutenção,Auxiliar de Manutenção,"2,3",4,Alinhado aos valores,4,Acima do esperado,3,Neutro
69,Falcão,Atendimento,Supervisor Atendimento,"3,2",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
70,Safira,Comercial,Executivo Comercial,"0,9",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
71,Sol,Operação,Fiscal Operacional,"1,2",5,Muito alinhado aos valores,3,Dentro do esperado,3,Neutro
72,Orion,Operação,Supervisor Operacional,"9,9",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
73,Falcão,Comercial,Analista Comercial,"0,5",4,Alinhado aos valores,4,Acima do esperado,2,Insatisfeito com a equipe
74,Bravo,Operação,Supervisor Operacional,"9,1",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
75,Pixel,Atendimento,Supervisor Atendimento,"25,4",4,Alinhado aos valores,5,Muito acima do esperado,3,Neutro
76,Aurora,Experiência do Cliente,Analista CX,"1,5",3,Neutro,5,Muito acima do esperado,4,Satisfeito com a equipe
77,Delta,Marketing,Analista Marketing,"13,1",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
78,Sirius,Operação,Motorista,"2,7",3,Neutro,5,Muito acima do esperado,4,Satisfeito com a equipe
79,Delta,Planejamento,Analista Planejamento,"1,7",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
80,Lua,Administrativo,Coordenador Administrativo,"1,3",5,Muito alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
81,Aurora,Operação,Motorista,"6,7",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
82,Cometa,Operação,Motorista,"14,2",3,Neutro,5,Muito acima do esperado,5,Muito satisfeito com a equipe
83,Lobo,Operação,Despachante,"7,2",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
84,Nuvem,Operação,Supervisor Operacional,"3,9",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
85,Sol,Comercial,Executivo Comercial,"5,2",5,Muito alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
86,Atlas,Operação,Motorista,"1,1",4,Alinhado aos valores,3,Dentro do esperado,3,Neutro
87,Sol,Administrativo,Coordenador Administrativo,"0,6",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
88,Bravo,Atendimento,Atendente,"26,5",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
89,Orion,RH,Assistente RH,"6,7",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
90,Lobo,Operação,Despachante,"0,6",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
91,Pixel,Comercial,Executivo Comercial,"1,5",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
92,Vento,Atendimento,Atendente,"0,4",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
93,Bravo,RH,Assistente RH,"20,9",3,Neutro,4,Acima do esperado,5,Muito satisfeito com a equipe
94,Eco,Operação,Despachante,"4,2",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
95,Jade,Comercial,Executivo Comercial,"6,5",4,Alinhado aos valores,3,Dentro do esperado,5,Muito satisfeito com a equipe
96,Sirius,Tecnologia,Analista de Sistemas,"1,6",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
97,Águia,Operação,Despachante,11,4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
98,Sirius,Comercial,Analista Comercial,"17,5",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
99,Orion,Tecnologia,Analista de Sistemas,"0,9",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
100,Nuvem,Operação,Motorista,"0,8",4,Alinhado aos valores,5,Muito acima do esperado,3,Neutro
101,Jade,Financeiro,Analista Financeiro,"6,9",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
102,Jade,Financeiro,Analista Financeiro,"10,4",5,Muito alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
103,Bravo,Operação,Despachante,"1,5",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
104,Vento,Tecnologia,Analista de Sistemas,"0,9",5,Muito alinhado aos valores,4,Acima do esperado,3,Neutro
105,Eco,Manutenção,Eletricista,"4,1",3,Neutro,3,Dentro do esperado,4,Satisfeito com a equipe
106,Pixel,Comercial,Analista Comercial,"0,3",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
107,Vento,Tecnologia,Analista de Sistemas,"3,7",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
108,Orion,Operação,Supervisor Operacional,"0,2",5,Muito alinhado aos valores,5,Muito acima do esperado,3,Neutro
109,Lobo,Marketing,Assistente Marketing,"1,7",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
110,Pixel,Manutenção,Técnico de Manutenção,"2,9",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
111,Delta,Administrativo,Analista Administrativo,"0,9",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
112,Trovão,Marketing,Assistente Marketing,"13,1",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
113,Cometa,Tecnologia,Analista de Sistemas,"5,7",4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
114,Sirius,Operação,Motorista,5,4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
115,Eco,Tecnologia,Desenvolvedor,"3,9",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
116,Trovão,Financeiro,Assistente Financeiro,"12,9",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
117,Pixel,Atendimento,Supervisor Atendimento,"25,1",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
118,Trovão,Operação,Motorista,"0,9",3,Neutro,4,Acima do esperado,5,Muito satisfeito com a equipe
119,Panda,Atendimento,Supervisor Atendimento,6,5,Muito alinhado aos valores,5,Muito acima do esperado,3,Neutro
120,Lua,Operação,Supervisor Operacional,"0,9",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
121,Panda,Operação,Fiscal Operacional,"0,8",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
122,Atlas,Manutenção,Auxiliar de Manutenção,"0,4",3,Neutro,4,Acima do esperado,3,Neutro
123,Delta,Operação,Despachante,"2,1",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
124,Jade,Comercial,Executivo Comercial,"7,8",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
125,Eco,Operação,Despachante,"4,7",5,Muito alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
126,Jade,Jurídico,Assistente Jurídico,"1,1",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
127,Lua,Operação,Motorista,"0,6",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
128,Nuvem,Operação,Fiscal Operacional,"6,2",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
129,Sol,Administrativo,Coordenador Administrativo,"0,4",3,Neutro,4,Acima do esperado,5,Muito satisfeito com a equipe
130,Lua,Planejamento,Analista Planejamento,"4,9",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
131,Águia,RH,Business Partner,"2,2",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
132,Panda,Operação,Despachante,"6,9",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
133,Trovão,Comercial,Executivo Comercial,"4,2",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
134,Falcão,Comercial,Analista Comercial,"0,6",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
135,Trovão,Operação,Supervisor Operacional,"0,5",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
136,Cometa,Operação,Despachante,"4,3",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
137,Lua,Atendimento,Supervisor Atendimento,"4,8",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
138,Jade,Tecnologia,Analista de Sistemas,"0,4",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
139,Sirius,Comercial,Analista Comercial,"3,8",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
140,Bravo,Comercial,Executivo Comercial,"1,2",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
141,Panda,Planejamento,Analista Planejamento,"1,3",2,Pouco alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
142,Lobo,Administrativo,Analista Administrativo,"1,9",4,Alinhado aos valores,5,Muito acima do esperado,3,Neutro
143,Delta,RH,Business Partner,"4,2",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
144,Bravo,RH,Assistente RH,"0,4",3,Neutro,3,Dentro do esperado,4,Satisfeito com a equipe
145,Sirius,Marketing,Assistente Marketing,"7,6",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
146,Orion,Comercial,Analista Comercial,"2,3",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
147,Aurora,Operação,Despachante,"1,7",3,Neutro,4,Acima do esperado,5,Muito satisfeito com a equipe
148,Atlas,Tecnologia,Desenvolvedor,"13,6",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
149,Cometa,Tecnologia,Analista de Dados,"1,2",4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
150,Delta,Operação,Supervisor Operacional,"3,6",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
151,Atlas,Operação,Motorista,"2,5",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
152,Eco,Manutenção,Mecânico,"2,5",3,Neutro,3,Dentro do esperado,3,Neutro
153,Lua,Operação,Motorista,9,4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
154,Águia,Operação,Supervisor Operacional,"18,5",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
155,Nuvem,Administrativo,Analista Administrativo,"0,9",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
156,Nuvem,Experiência do Cliente,Analista CX,"0,9",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
157,Eco,Marketing,Assistente Marketing,"9,2",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
158,Delta,Atendimento,Supervisor Atendimento,"0,7",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
159,Eco,Operação,Motorista,"2,9",5,Muito alinhado aos valores,5,Muito acima do esperado,3,Neutro
160,Eco,Operação,Motorista,6,4,Alinhado aos valores,4,Acima do esperado,3,Neutro
161,Atlas,Financeiro,Analista Financeiro,"5,8",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
162,Lobo,Administrativo,Coordenador Administrativo,"0,6",4,Alinhado aos valores,3,Dentro do esperado,5,Muito satisfeito com a equipe
163,Cometa,Operação,Fiscal Operacional,"25,5",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
164,Águia,Operação,Fiscal Operacional,"6,8",3,Neutro,4,Acima do esperado,3,Neutro
165,Lua,Operação,Motorista,"0,3",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
166,Nuvem,Marketing,Assistente Marketing,"11,4",5,Muito alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
167,Vento,Operação,Motorista,"1,3",4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
168,Vento,Operação,Supervisor Operacional,"3,7",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
169,Águia,Atendimento,Supervisor Atendimento,"1,4",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
170,Atlas,Operação,Fiscal Operacional,"2,4",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
171,Falcão,Planejamento,Analista Planejamento,"12,1",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
172,Cometa,Atendimento,Atendente,"15,1",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
173,Vento,Operação,Supervisor Operacional,"5,9",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
174,Sirius,Manutenção,Mecânico,"9,1",3,Neutro,3,Dentro do esperado,4,Satisfeito com a equipe
175,Atlas,Operação,Fiscal Operacional,"0,3",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
176,Cometa,Operação,Motorista,"2,4",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
177,Lobo,Operação,Motorista,"1,9",5,Muito alinhado aos valores,3,Dentro do esperado,5,Muito satisfeito com a equipe
178,Sirius,Comercial,Analista Comercial,"7,4",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
179,Pixel,Administrativo,Assistente Administrativo,"0,4",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
180,Aurora,Administrativo,Coordenador Administrativo,"0,8",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
181,Delta,Manutenção,Mecânico,"1,4",3,Neutro,4,Acima do esperado,3,Neutro
182,Orion,Comercial,Analista Comercial,"2,9",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
183,Panda,Tecnologia,Analista de Sistemas,"0,4",4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
184,Atlas,Comercial,Analista Comercial,"1,1",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
185,Jade,Comercial,Analista Comercial,"10,7",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
186,Lua,Tecnologia,Analista de Dados,"12,8",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
187,Aurora,Marketing,Analista Marketing,1,4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
188,Sol,Operação,Fiscal Operacional,"0,6",4,Alinhado aos valores,4,Acima do esperado,3,Neutro
189,Pixel,RH,Analista RH,"2,8",3,Neutro,3,Dentro do esperado,4,Satisfeito com a equipe
190,Lobo,Tecnologia,Analista de Dados,"2,2",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
191,Eco,Administrativo,Assistente Administrativo,"1,6",5,Muito alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
192,Safira,Tecnologia,Analista de Dados,"3,1",5,Muito alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
193,Orion,Manutenção,Auxiliar de Manutenção,"1,1",3,Neutro,3,Dentro do esperado,4,Satisfeito com a equipe
194,Pixel,Planejamento,Analista Planejamento,"4,4",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
195,Pixel,Marketing,Assistente Marketing,"20,1",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
196,Delta,Operação,Motorista,"30,9",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
197,Delta,Planejamento,Analista Planejamento,3,5,Muito alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
198,Vento,Operação,Motorista,"7,7",5,Muito alinhado aos valores,4,Acima do esperado,3,Neutro
199,Bravo,Tecnologia,Analista de Sistemas,"6,4",5,Muito alinhado aos valores,4,Acima do esperado,3,Neutro
200,Eco,Operação,Fiscal Operacional,"0,5",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
201,Lobo,Administrativo,Analista Administrativo,"1,2",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
202,Nuvem,Marketing,Analista Marketing,"4,5",5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
203,Falcão,Operação,Motorista,"26,9",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
204,Panda,Administrativo,Assistente Administrativo,1,4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
205,Falcão,Operação,Motorista,"5,2",3,Neutro,4,Acima do esperado,5,Muito satisfeito com a equipe
206,Delta,Operação,Motorista,"14,4",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
207,Delta,Comercial,Executivo Comercial,4,4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
208,Panda,Comercial,Analista Comercial,"2,2",3,Neutro,5,Muito acima do esperado,4,Satisfeito com a equipe
209,Eco,Administrativo,Coordenador Administrativo,"0,5",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
210,Falcão,Operação,Supervisor Operacional,"2,2",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
211,Bravo,Operação,Supervisor Operacional,"27,5",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
212,Sirius,Financeiro,Assistente Financeiro,"2,4",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
213,Sol,Tecnologia,Desenvolvedor,"0,7",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
214,Sol,Operação,Fiscal Operacional,"2,5",4,Alinhado aos valores,4,Acima do esperado,3,Neutro
215,Jade,Comercial,Analista Comercial,"0,7",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
216,Orion,Tecnologia,Desenvolvedor,"14,9",5,Muito alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
217,Nuvem,Operação,Supervisor Operacional,"29,5",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
218,Eco,Operação,Supervisor Operacional,"8,8",4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
219,Orion,RH,Business Partner,"0,8",3,Neutro,5,Muito acima do esperado,5,Muito satisfeito com a equipe
220,Falcão,Comercial,Analista Comercial,"0,8",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
221,Vento,Administrativo,Assistente Administrativo,"24,9",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
222,Jade,Administrativo,Coordenador Administrativo,"5,9",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
223,Pixel,Operação,Motorista,"7,5",5,Muito alinhado aos valores,4,Acima do esperado,3,Neutro
224,Eco,Marketing,Analista Marketing,"2,5",5,Muito alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
225,Sol,Operação,Fiscal Operacional,5,5,Muito alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
226,Atlas,Financeiro,Assistente Financeiro,"1,4",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
227,Bravo,Manutenção,Mecânico,"4,5",3,Neutro,3,Dentro do esperado,4,Satisfeito com a equipe
228,Nuvem,Operação,Motorista,"1,7",3,Neutro,5,Muito acima do esperado,4,Satisfeito com a equipe
